# k2;k3;k4;k5;k6;k7;e;Vol;T
2.814160e+00;3.387340e-02;1.965644e+00;1.453176e-02;1.636801e-02;2.208602e+00;1.765614e+00;NaN;7.958012e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-107.mat
5.505787e+00;5.290383e-02;1.022111e+00;1.319606e-02;1.313087e-01;7.601762e+00;1.815481e+00;NaN;5.381372e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-135.mat
1.359257e+00;1.962388e-01;1.051990e+00;2.249477e-02;1.135875e-01;2.781432e+01;1.833788e+00;NaN;9.384104e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-195.mat
3.611352e+00;4.993952e-02;1.254018e+00;2.462064e-02;5.958813e-02;6.075970e+00;1.867613e+00;NaN;7.797328e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-145.mat
5.538156e-01;2.314000e-01;1.962439e+00;8.212712e-03;3.380156e-02;2.103431e+01;1.956271e+00;NaN;1.436124e+04
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-100.mat
1.987012e+00;2.894007e-02;2.819296e-01;2.994169e-02;4.762216e-02;1.005980e+01;2.320128e+00;NaN;6.262334e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-0.mat
4.631564e+00;8.697145e-02;3.362359e-01;2.591831e-02;5.670938e-02;1.005610e+00;2.345751e+00;NaN;5.837654e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-187.mat
6.188950e+00;2.171256e-02;1.039191e+00;3.677959e-03;6.764652e-02;3.392800e+00;2.347093e+00;NaN;7.022035e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-113.mat
3.518909e+00;3.314174e-02;9.449160e-01;3.103554e-02;5.451580e-02;6.046697e+00;2.427893e+00;NaN;5.496791e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-110.mat
6.931991e+00;2.553235e-02;8.676935e-01;1.234323e-02;9.400118e-02;4.374022e+00;2.535102e+00;NaN;7.161900e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-106.mat
3.813091e+00;4.851390e-02;3.713822e-01;3.185295e-02;2.203311e-02;2.081206e+00;2.729626e+00;NaN;6.331243e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-154.mat
4.847199e+00;2.870362e-02;9.473598e-01;3.180359e-02;5.939170e-02;4.734357e+00;2.758566e+00;NaN;6.113437e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/a//data//Ostrenko2019-pe-cmaes-ca-sample-125.mat
