# k1;k2;k3;k4;k5;k6;e;Vol;T
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-77.mat
2.259423e+00;3.828043e+00;3.762792e+01;5.388944e-01;3.159627e-01;9.987869e+00;1.035094e+00;NaN;1.157365e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-36.mat
2.167664e+00;3.851133e+00;4.686191e+01;3.238691e-01;3.711495e-01;9.727286e+00;1.066977e+00;NaN;1.052775e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-126.mat
2.251817e+00;3.883180e+00;1.183764e+02;1.899967e+00;4.523539e-01;1.004776e+01;1.069814e+00;NaN;1.063834e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-79.mat
2.223323e+00;3.988712e+00;1.313865e+02;2.021192e+00;9.364668e-01;9.836894e+00;1.070418e+00;NaN;1.147882e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-31.mat
2.293821e+00;3.843048e+00;3.225202e+01;5.222828e-01;3.224690e-01;1.017347e+01;1.071663e+00;NaN;1.018650e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-120.mat
9.705774e-01;2.572656e+00;7.444003e+01;6.089985e-01;3.178858e-01;8.047603e+00;1.082722e+00;NaN;1.329753e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-76.mat
2.189411e+00;3.806084e+00;1.909523e+02;5.776281e-01;5.935068e-01;9.545384e+00;1.084439e+00;NaN;1.253440e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-53.mat
2.236077e+00;3.721935e+00;3.267623e+01;7.038845e-01;2.042422e-01;9.858966e+00;1.085925e+00;NaN;1.028027e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-39.mat
1.194924e+00;3.783640e+00;2.801052e+01;1.020679e+00;4.509233e-01;6.190268e+00;1.090007e+00;NaN;1.202787e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-116.mat
2.271720e+00;2.006031e+00;2.511623e+01;1.415391e+00;5.677953e-01;1.259693e+01;1.111817e+00;NaN;1.199767e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-80.mat
2.225609e+00;4.172478e+00;3.578722e+01;1.752361e+00;1.515903e+00;9.930848e+00;1.116493e+00;NaN;1.978835e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-56.mat
2.219370e+00;3.881954e+00;4.535101e+01;1.817920e-01;4.716984e-01;9.840467e+00;1.117376e+00;NaN;1.226421e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-60.mat
2.260307e+00;3.809721e+00;3.437351e+01;1.531775e+00;2.506893e-01;1.001230e+01;1.130141e+00;NaN;1.106199e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-118.mat
1.570381e+00;4.175243e+00;4.370166e+01;4.107491e-01;2.860550e-01;8.191656e+00;1.140062e+00;NaN;1.199107e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-123.mat
2.212881e+00;3.784449e+00;4.787622e+01;1.584585e+00;1.706394e-01;9.876126e+00;1.142190e+00;NaN;1.256581e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-93.mat
2.304815e+00;3.753999e+00;5.389141e+01;1.854786e+00;3.774807e-01;1.017803e+01;1.155630e+00;NaN;1.054847e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-87.mat
2.313317e+00;3.899234e+00;2.564956e+01;1.829271e+00;6.498785e-01;1.023866e+01;1.168362e+00;NaN;1.117856e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-63.mat
2.371541e+00;3.768106e+00;1.734661e+01;6.445448e-01;2.562515e-01;1.057834e+01;1.171449e+00;NaN;2.189177e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-42.mat
2.264735e+00;3.789125e+00;2.446975e+01;1.573192e+00;3.113842e-01;1.009808e+01;1.173090e+00;NaN;1.009583e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-48.mat
2.229667e+00;3.851904e+00;1.860334e+01;1.715712e+00;5.078240e-01;9.947882e+00;1.191009e+00;NaN;1.040767e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-67.mat
1.451883e+00;3.840058e+00;7.305344e+01;2.081000e+00;8.429320e-01;7.117580e+00;1.215052e+00;NaN;1.134917e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-127.mat
2.092488e+00;3.563606e+00;2.504077e+01;1.866251e+00;5.772251e-01;8.866995e+00;1.233150e+00;NaN;1.170222e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-62.mat
2.255721e+00;3.813686e+00;4.473071e+01;1.956791e-01;1.950621e-01;1.011293e+01;1.265950e+00;NaN;9.084102e+02
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-33.mat
2.196054e+00;3.910506e+00;1.012537e+02;2.166014e+00;4.931040e-01;9.768983e+00;1.272124e+00;NaN;1.238643e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-75.mat
2.381726e+00;4.239863e+00;3.999096e+01;2.000003e+00;1.623770e+00;1.048499e+01;1.326115e+00;NaN;1.213361e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-88.mat
2.162072e+00;3.760763e+00;1.937657e+02;1.505293e+00;2.058678e-01;9.537425e+00;1.331319e+00;NaN;1.043600e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-121.mat
2.174398e+00;3.793664e+00;3.247269e+01;1.979550e+00;2.912286e-01;9.781752e+00;1.386411e+00;NaN;1.179286e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-54.mat
2.674950e+00;2.716437e+00;3.084651e+01;9.628256e-01;8.388385e-01;2.235033e+01;1.472930e+00;NaN;1.044574e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-78.mat
2.255380e+00;3.821272e+00;1.958063e+02;1.843657e+00;2.321210e-01;1.011921e+01;1.490444e+00;NaN;2.205037e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-82.mat
2.243189e+00;3.667099e+00;1.473515e+02;2.304993e+00;2.747692e-01;9.753524e+00;1.568670e+00;NaN;9.210887e+02
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-58.mat
9.949268e-01;3.772901e+00;4.824811e+01;2.277509e+00;1.232211e+00;4.474490e+00;1.604202e+00;NaN;1.193548e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-100.mat
2.178945e+00;4.058982e+00;2.754699e+02;1.665816e+00;1.098435e+00;9.650874e+00;1.880001e+00;NaN;1.152973e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-119.mat
1.474967e+00;3.836818e+00;2.214069e+01;2.873567e+00;6.975041e-01;6.351143e+00;2.112208e+00;NaN;1.276052e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-74.mat
2.270164e+00;3.846550e+00;3.155623e+01;3.028503e+00;5.831151e-01;1.008423e+01;2.181444e+00;NaN;1.097936e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-105.mat
2.378052e+00;4.098918e+00;3.106846e+02;4.044789e-01;1.522746e+00;1.050938e+01;2.252366e+00;NaN;1.183254e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-44.mat
2.285338e+00;3.850275e+00;6.421004e+01;3.229651e+00;4.543208e-01;1.008512e+01;2.323558e+00;NaN;8.380297e+02
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-85.mat
2.282865e+00;3.784522e+00;1.501017e+02;3.152921e+00;2.790080e-01;1.005951e+01;2.325740e+00;NaN;1.075199e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-73.mat
2.264952e+00;3.851381e+00;3.181919e+02;2.465784e-01;6.291183e-01;9.955076e+00;2.338250e+00;NaN;1.047276e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-84.mat
2.229260e+00;3.893567e+00;3.154582e+02;3.086110e-01;3.796856e-01;9.930992e+00;2.346459e+00;NaN;9.694273e+02
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-112.mat
2.393405e+00;3.895044e+00;1.624009e+01;3.386374e+00;8.636421e-01;1.020022e+01;2.533792e+00;NaN;1.132495e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-50.mat
2.235066e+00;3.866785e+00;2.669021e+02;2.817742e+00;3.513662e-01;1.012006e+01;2.551831e+00;NaN;1.087678e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-65.mat
2.213419e+00;4.164787e+00;3.587543e+02;3.775721e-01;1.413815e+00;9.804372e+00;2.693767e+00;NaN;2.032853e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-55.mat
2.288414e+00;3.799027e+00;3.991004e+01;3.545701e+00;2.664720e-01;1.015041e+01;2.717127e+00;NaN;1.010978e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-128.mat
2.463129e+00;3.799788e+00;3.467058e+02;2.254039e+00;4.392113e-01;1.078777e+01;2.826864e+00;NaN;1.141006e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-47.mat
2.238774e+00;4.035422e+00;3.870773e+02;1.447690e+00;1.031237e+00;9.948026e+00;2.905662e+00;NaN;7.509614e+02
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-103.mat
1.823385e+00;3.573938e+00;2.275018e+01;3.815406e+00;5.309311e-01;8.948956e+00;2.966755e+00;NaN;1.403445e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-68.mat
7.680828e-01;4.286136e+00;1.597247e+01;1.752027e+00;3.865278e+00;1.597089e+01;3.205752e+00;NaN;1.099848e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-91.mat
2.336079e+00;3.928610e+00;3.826254e+02;2.631268e+00;8.533876e-01;1.044641e+01;3.267112e+00;NaN;1.045829e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-96.mat
2.260966e+00;4.151068e+00;4.213454e+02;6.790491e-01;1.634798e+00;9.902138e+00;3.291476e+00;NaN;1.155208e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-34.mat
2.297965e+00;4.130944e+00;4.060190e+01;4.266484e+00;1.182440e+00;1.022095e+01;3.325361e+00;NaN;1.264864e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-122.mat
1.276175e+00;4.076687e+00;2.439499e+01;4.287726e+00;8.956713e-01;6.989208e+00;3.416135e+00;NaN;1.414295e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-124.mat
2.170261e+00;3.959421e+00;1.245783e+02;4.504289e+00;7.141296e-01;9.744526e+00;3.524795e+00;NaN;1.178694e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-113.mat
2.242358e+00;4.367537e+00;8.443554e+01;5.902905e+00;2.249956e+00;9.955250e+00;5.062961e+00;NaN;1.106634e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-35.mat
3.195063e+00;4.192940e+00;1.451364e+01;6.561973e+00;2.062089e+00;1.368023e+01;5.754004e+00;NaN;1.303505e+03
# /home/h1/ostrenko/lp-opt/LpOptimization/figures/c//data//Ostrenko2019-pe-cmaes-ed-sample-101.mat
1.829520e+00;5.829220e+00;8.103035e+00;6.020059e+00;3.612582e+00;7.892069e+00;5.758435e+00;NaN;1.089423e+03
